base,target,literal,tags/0,tags/1,tags/2,tags/3,tags/4
I have to,je dois,1,verb,to have to,,,
you have to (informal),tu dois,1,verb,to have to,,,
he has to,il doit,1,verb,to have to,,,
she has to,elle doit,1,verb,to have to,,,
we have to,nous devons,1,verb,to have to,,,
you have to (formal),vous devez,1,verb,to have to,,,
"they have to (male, mixed)",ils doivent,1,verb,to have to,,,
they have to (female),elles doivent,1,verb,to have to,,,
"to take, to catch, to capture",prendre ,1,verb,to take,,,
I take,je prends,1,verb,to take,,,
you take (informal),tu prends,1,verb,to take,,,
he takes,il prend,1,verb,to take,,,
she takes,elle prend,1,verb,to take,,,
we take,nous prenons,1,verb,to take,,,
you take (formal),vous prenez,1,verb,to take,,,
"they take (male, mixed)",ils prennent,1,verb,to take,,,
they take (female),elles prennent,1,verb,to take,,,
"to give, to produce",donner,1,verb,to give,,,
I give,je donne,1,verb,to give,,,
you give (informal),tu donnes,1,verb,to give,,,
he gives ,il donne,1,verb,to give,,,
she gives,elle donne,1,verb,to give,,,
we give,nous donnons,1,verb,to give,,,
you give (formal),vous donnez,1,verb,to give,,,
"they give (male, mixed)",ils donnent,1,verb,to give,,,
they give (female),elles donnent,1,verb,to give,,,
to go,aller ,1,verb,to go,,,
I go,je vais,1,verb,to go,,,
you go (informal),tu vas,1,verb,to go,,,
he goes,il va,1,verb,to go,,,
she goes,elle va,1,verb,to go,,,
they go,nous allons,1,verb,to go,,,
you go (formal),vous allez,1,verb,to go,,,
"they go (male, mixed)",ils vont,1,verb,to go,,,
they go (female),elles vont,1,verb,to go,,,
"to want, to wish",vouloir ,1,verb,to want,,,
I want,je veux,1,verb,to want,,,
you want (informal),tu veux,1,verb,to want,,,
he wants,il veut,1,verb,to want,,,
she wants,elle veut,1,verb,to want,,,
we want,nous voulons,1,verb,to want,,,
you want (formal),vous voulez,1,verb,to want,,,
"they want (male, mixed)",ils veulent,1,verb,to want,,,
they want (female),elles veulent,1,verb,to want,,,
to know,savoir,1,verb,to know,,,
I know,je sais,1,verb,to know,,,
you know (informal),tu sais,1,verb,to know,,,
he knows,il sait,1,verb,to know,,,
she knows,elle sait,1,verb,to know,,,
we know,nous savons,1,verb,to know,,,
you know (formal),vous savez,1,verb,to know,,,
"they know (male, mixed)",ils savent,1,verb,to know,,,
they know (female),elles savent,1,verb,to know,,,
to have to,falloir ,1,verb,to have to,,,
It must be / it has to ,il faut,1,verb,to have to,,,
It must be / it has to (female),elle faut,1,verb,to have to,,,
to see,voir ,1,verb,to see,,,
I see,je vois,1,verb,to see,,,
you see (informal),tu vois,1,verb,to see,,,
he sees,il voit,1,verb,to see,,,
she sees,elle voit,1,verb,to see,,,
we see,nous voyons,1,verb,to see,,,
you see (formal),vous voyez,1,verb,to see,,,
"they see (male, mixed)",ils voient,1,verb,to see,,,
they see (female),elles voient,1,verb,to see,,,
"to ask, to request",demander ,1,verb,to ask,,,
I ask,je demande,1,verb,to ask,,,
you ask (informal),tu demandes,1,verb,to ask,,,
he asks,il demande,1,verb,to ask,,,
she asks,elle demande,1,verb,to ask,,,
we ask,nous demandons,1,verb,to ask,,,
you ask (formal),vous demandez,1,verb,to ask,,,
"they ask (male, mixed)",ils demandent,1,verb,to ask,,,
they ask (female),elles demandent,1,verb,to ask,,,
"to find, to discover",trouver ,1,verb,to find,,,
I find,je trouve,1,verb,to find,,,
you find (informal),tu trouves,1,verb,to find,,,
he finds,il trouve,1,verb,to find,,,
she finds,elle trouve,1,verb,to find,,,
we find,nous trouvons,1,verb,to find,,,
you find (formal),vous trouvez,1,verb,to find,,,
"they find (male, mixed)",ils trouvent,1,verb,to find,,,
they find (female),elles trouvent,1,verb,to find,,,
"to return (something), to give back",rendre ,1,verb,to give back,,,
I give back,je rends,1,verb,to give back,,,
you give back (informal),tu rends,1,verb,to give back,,,
he gives back,il rend,1,verb,to give back,,,
she gives back,elle rend,1,verb,to give back,,,
we give back,nous rendons,1,verb,to give back,,,
you give back (formal),vous rendez,1,verb,to give back,,,
"they give back (male, mixed)",ils rendent,1,verb,to give back,,,
they give back (female),elles rendent,1,verb,to give back,,,
to come,venir,1,verb,to come,,,
I come,je viens,1,verb,to come,,,
you come (informal),tu viens,1,verb,to come,,,
he comes,il vient,1,verb,to come,,,
she comes,elle vient,1,verb,to come,,,
we come,nous venons,1,verb,to come,,,
you come (formal),vous venez,1,verb,to come,,,
"they come (male, mixed)",ils viennent,1,verb,to come,,,
they come (female),elles viennent,1,verb,to come,,,
"to pass, to go past",passer,1,verb,to pass,,,
I pass,je passe,1,verb,to pass,,,
you pass (informal),tu passes,1,verb,to pass,,,
he passes,il passe,1,verb,to pass,,,
she passes,elle passe,1,verb,to pass,,,
we pass,nous passons,1,verb,to pass,,,
you pass (formal),vous passez,1,verb,to pass,,,
"they pass (male, mixed)",ils passent,1,verb,to pass,,,
they pass (female),elles passent,1,verb,to pass,,,
"to understand, to include, to comprehend",comprendre ,1,verb,to understand,,,
I understand,je comprends,1,verb,to understand,,,
you understand (informal),tu comprends,1,verb,to understand,,,
he understands,il comprend,1,verb,to understand,,,
she understands,elle comprend,1,verb,to understand,,,
we understand,nous comprenons,1,verb,to understand,,,
you understand (formal),vous comprenez,1,verb,to understand,,,
"they understand (male, mixed)",ils comprennent,1,verb,to understand,,,
they understand (female),elles comprennent,1,verb,to understand,,,
"to stay, to remain",rester ,1,verb,to stay,,,
I stay,je reste,1,verb,to stay,,,
you stay (informal),tu restes,1,verb,to stay,,,
he stays,il reste,1,verb,to stay,,,
she stays,elle reste,1,verb,to stay,,,
we stay,nous restons,1,verb,to stay,,,
you stay (formal),vous restez,1,verb,to stay,,,
"they stay (male, mixed)",ils restent,1,verb,to stay,,,
they stay (female),elles restent,1,verb,to stay,,,
"to hold, to keep",tenir,1,verb,to hold,,,
I hold,je tiens,1,verb,to hold,,,
you hold (informal),tu tiens,1,verb,to hold,,,
he holds,il tient,1,verb,to hold,,,
she holds,elle tient,1,verb,to hold,,,
we hold,nous tenons,1,verb,to hold,,,
you hold (formal),vous tenez,1,verb,to hold,,,
"they hold (male, mixed)",ils tiennent,1,verb,to hold,,,
they hold (female),elles tiennent,1,verb,to hold,,,
"to carry, to wear",porter ,1,verb,to carry,,,
I carry,je porte,1,verb,to carry,,,
you carry (informal),tu portes,1,verb,to carry,,,
he carries,il porte,1,verb,to carry,,,
she carries,elle porte,1,verb,to carry,,,
we carry,nous portons,1,verb,to carry,,,
you carry (formal),vous portez,1,verb,to carry,,,
"they carry (male, mixed)",ils portent,1,verb,to carry,,,
they carry (female),elles portent,1,verb,to carry,,,
"to speak, to talk",parler,1,verb,to speak,,,
I speak,je parle,1,verb,to speak,,,
you speak (informal),tu parles,1,verb,to speak,,,
he speaks,il parle,1,verb,to speak,,,
she speaks,elle parle,1,verb,to speak,,,
we speak,nous parlons,1,verb,to speak,,,
you speak (formal),vous parlez,1,verb,to speak,,,
"they speak (male, mixed)",ils parlent,1,verb,to speak,,,
they speak (female),elles parlent,1,verb,to speak,,,
"to show, to display",montrer,1,verb,to show,,,
I show,je montre,1,verb,to show,,,
you show (informal),tu montres,1,verb,to show,,,
he shows,il montre,1,verb,to show,,,
she shows,elle montre,1,verb,to show,,,
we show,nous montrons,1,verb,to show,,,
you show (formal),vous montrez,1,verb,to show,,,
"they show (male, mixed)",ils montrent,1,verb,to show,,,
they show (female),elles montrent,1,verb,to show,,,
I want a coffee,Je veux un café,,phrase,coffee,cafe,,
I need a coffee,J'ai besoin d'un café,,phrase,coffee,cafe,,
I really need a coffee,Il me faut un café,,phrase,coffee,cafe,,
I would like a coffee,Je voudrais un café,,phrase,coffee,cafe,,
I like coffee,J'aime le café,,phrase,coffee,,,
I don't like coffee,Je n'aime pas le café,,phrase,coffee,,,
Do you have coffee? (informal),Est-ce que tu as du café?,,phrase,coffee,,informal,
Do you have coffee? (formal),Est-ce que vous avez du café?,,phrase,coffee,cafe,formal,
I don't want a coffee,Je ne veux pas de café,,phrase,coffee,,,
I don't need a coffee,Je n'ai pas besoin de café,,phrase,coffee,,,
I want a large creamy coffee,Je veux un café grand creme,,phrase,coffee,cafe,,
I want a cream coffee,Je veux un café creme,,phrase,coffee,cafe,,
I want a coffee,Je veux un café,,phrase,coffee,cafe,,
I want an americano,Je veux un café allonge,,phrase,coffee,cafe,,
I want a cappuccino,Je veux un cappuccino,,phrase,coffee,cafe,,
I want a decaffinated coffee,Je veux un deca,,phrase,coffee,cafe,,
I want a white decaffinated coffee,Je veux un deca creme,,phrase,coffee,cafe,,
I want a white coffee,Je veux un café au lait,,phrase,coffee,cafe,,
I want an espresso,Je veux un express,,phrase,coffee,cafe,,
I want a black coffee,Je veux un café noir,,phrase,coffee,cafe,,
(in a cafe) Do you do cappuccino?,Est-ce que tu faites du cappuccino?,,phrase,coffee,cafe,,
Do you want a cafe (very informal),Tu veux un café?,,phrase,coffee,,,
Do you want a coffee? (informal),Est-ce que tu veux un café?,,phrase,coffee,,,
Do you want a coffee? (formal),Est-ce que vous voulez un café?,,phrase,coffee,,,
Do you want a coffee? (very formal),Voulez-vous un café?,,phrase,coffee,,,
I'll have a coffee,Je veux prendre un café,,phrase,coffee,,,
I don't like this coffee,Je n'aime pas ce café,,phrase,coffee,,,
I want a tea,Je veux un thé,,phrase,tea,cafe,,
I need a tea,J'ai besoin d'un thé,,phrase,tea,cafe,,
I would like a tea,Je voudrais un thé,,phrase,tea,cafe,,
I like tea,J'aime le thé,,phrase,tea,,,
I don't like tea,Je n'aime pas le thé,,phrase,tea,,,
Do you have tea? (informal),Est-ce que tu as du thé?,,phrase,tea,,informal,
Do you have tea? (formal),Est-ce que vous avez du thé?,,phrase,tea,cafe,formal,
I don't want a tea,Je ne veux pas de thé,,phrase,tea,,,
I don't like this tea,Je n'aime pas ce thé,,phrase,tea,cafe,,
Do you like this coffee?,Est-ce que tu aimes ce café?,,phrase,coffee,,,
Do you like this tea?,Est-ce que tu aimes ce thé?,,phrase,tea,,,
